algorithm,dataset,n,k,d,i,ari,obj,t
gmm_rs,wines,178,3,13,2,0.00337911,-15.98171149,0.211838733
gmm_hg,wines,178,3,13,2,0.014334595,-13.23091952,0.220318164
gmm_shrunk,wines,178,3,13,2,0.328647263,-49.98487936,0.002287711
gmm_ms_shrunk,wines,178,3,13,2,0.314474053,-48.81248031,10.84614044
gmm_rs_shrunk,wines,178,3,13,2,0.346927587,-48.28593336,10.7602311
gmm_hg_shrunk,wines,178,3,13,2,0.346927587,-47.04197742,5.315838984
kmeans,yeast,1484,10,8,2,0.143602295,45.90549977,0.006503237
kmeans_hg,yeast,1484,10,8,2,0.147939267,45.24386403,2.370472459
gmm,yeast,1484,10,8,2,0.003339386,12.91428796,0.026109542
gmm_ms,yeast,1484,10,8,2,0.042635428,44.50104717,237.6938707
gmm_rs,yeast,1484,10,8,2,0.00441169,42.40701135,254.5272694
gmm_hg,yeast,1484,10,8,2,0.011953317,43.16732457,290.0074272
gmm_shrunk,yeast,1484,10,8,2,0.101477055,11.86126211,0.01085304
gmm_ms_shrunk,yeast,1484,10,8,2,0.19476026,12.17052506,14.45391106
gmm_rs_shrunk,yeast,1484,10,8,2,0.217949905,12.16221874,6.058279845
gmm_hg_shrunk,yeast,1484,10,8,2,0.202591334,12.14816359,3.1605228
kmeans,facebook_live_sellers,7050,4,9,3,0.095983414,2.00E+09,0.137384958
kmeans_hg,facebook_live_sellers,7050,4,9,3,0.088766491,2.00E+09,7.901534491
gmm,facebook_live_sellers,7050,4,9,3,0.098986481,5.170190533,0.110343567
gmm_ms,facebook_live_sellers,7050,4,9,3,0.11509287,7.363892437,205.4301254
gmm_rs,facebook_live_sellers,7050,4,9,3,0.099046068,5.173064933,15.31054588
gmm_hg,facebook_live_sellers,7050,4,9,3,0.120489741,6.024491956,41.92218866
gmm_shrunk,facebook_live_sellers,7050,4,9,3,0.225393589,-44.37801418,0.209454268
gmm_ms_shrunk,facebook_live_sellers,7050,4,9,3,0.169827116,-33.82563497,67.3011373
gmm_rs_shrunk,facebook_live_sellers,7050,4,9,3,0.225691073,-44.36011952,14.83590969
gmm_hg_shrunk,facebook_live_sellers,7050,4,9,3,0.225373671,-44.27243371,14.00148784
kmeans,handwritten_digits,5620,10,62,3,0.581060143,3.70E+06,0.296604116
kmeans_hg,handwritten_digits,5620,10,62,3,0.671562447,3.68E+06,101.1198806
gmm,handwritten_digits,5620,10,62,3,0.310837613,-17.89720341,1.784343493
gmm_ms,handwritten_digits,5620,10,62,3,0.209206164,-13.01727523,1149.954395
gmm_rs,handwritten_digits,5620,10,62,3,0.293129595,-13.62691339,157.1239899
gmm_hg,handwritten_digits,5620,10,62,3,0.156566494,-5.359294025,343.1529521
gmm_shrunk,handwritten_digits,5620,10,62,3,0.596991053,-119.4928131,4.018826449
gmm_ms_shrunk,handwritten_digits,5620,10,62,3,0.793988294,-118.6224692,1142.273785
gmm_rs_shrunk,handwritten_digits,5620,10,62,3,0.701182878,-119.0881006,427.509544
gmm_hg_shrunk,handwritten_digits,5620,10,62,3,0.807383315,-118.7575796,218.2227017
kmeans,hcv,589,5,12,3,0.443600369,1.64E+06,0.007770978
kmeans_hg,hcv,589,5,12,3,0.463843259,1.64E+06,0.626488398
gmm,hcv,589,5,12,3,0.235155781,-36.81188177,0.013259278
gmm_ms,hcv,589,5,12,3,0.114138951,-3.760186275,382.6400604
gmm_rs,hcv,589,5,12,3,0.121104076,-3.787602907,572.2504529
gmm_hg,hcv,589,5,12,3,0.116254957,-3.993975803,282.0322567
gmm_shrunk,hcv,589,5,12,3,0.530497604,-40.05582551,0.02325678
gmm_ms_shrunk,hcv,589,5,12,3,0.221072157,-39.64853175,6.620258533
gmm_rs_shrunk,hcv,589,5,12,3,0.514988606,-40.00894173,1.232886634
gmm_hg_shrunk,hcv,589,5,12,3,0.221072157,-39.64853175,1.427069778
kmeans,image_segmentation,2310,7,18,3,0.339776179,1.44E+07,0.018637924
kmeans_hg,image_segmentation,2310,7,18,3,0.338625379,1.34E+07,7.274183506
gmm,image_segmentation,2310,7,18,3,0.257659157,19.22009493,1.798030245
gmm_ms,image_segmentation,2310,7,18,3,0.292364493,31.18639959,397.3280738
gmm_rs,image_segmentation,2310,7,18,3,0.258457299,20.72801727,59.02441191
gmm_hg,image_segmentation,2310,7,18,3,0.150234157,27.63210486,553.3601062
gmm_shrunk,image_segmentation,2310,7,18,3,0.465934395,-59.58615325,0.156976229
gmm_ms_shrunk,image_segmentation,2310,7,18,3,0.448109005,-58.34057592,59.94337946
gmm_rs_shrunk,image_segmentation,2310,7,18,3,0.530685409,-59.47845483,21.82254528
gmm_hg_shrunk,image_segmentation,2310,7,18,3,0.495540568,-57.4649417,26.5658207
kmeans,ionosphere,351,2,33,3,0.177606855,2419.364807,0.002039889
kmeans_hg,ionosphere,351,2,33,3,0.177606855,2419.364807,0.160489623
gmm,ionosphere,351,2,33,3,0.203021227,0.170496366,0.01361384
gmm_ms,ionosphere,351,2,33,3,0.742392259,27.99227087,3.342006557
gmm_rs,ionosphere,351,2,33,3,0.647316754,27.91487442,30.50115403
gmm_hg,ionosphere,351,2,33,3,0.703623411,28.0872026,44.09835795
gmm_shrunk,ionosphere,351,2,33,3,0.731350474,-0.572264147,0.007919106
gmm_ms_shrunk,ionosphere,351,2,33,3,0.731723251,-0.343794507,3.996898903
gmm_rs_shrunk,ionosphere,351,2,33,3,0.731723251,-0.343453207,1.785422313
gmm_hg_shrunk,ionosphere,351,2,33,3,0.731723251,-0.343794507,0.918747668
kmeans,iris,150,3,4,3,0.730238272,78.94084143,0.000203211
kmeans_hg,iris,150,3,4,3,0.730238272,78.94084143,0.034761909
gmm,iris,150,3,4,3,0.903874232,-1.206814962,0.001465943
gmm_ms,iris,150,3,4,3,0.531229047,-0.934776126,0.539788337
gmm_rs,iris,150,3,4,3,0.903874232,-1.20664639,0.201820961
gmm_hg,iris,150,3,4,3,0.560909984,-0.835544164,0.353412176
gmm_shrunk,iris,150,3,4,3,0.960266667,-1.332453894,0.001934888
gmm_ms_shrunk,iris,150,3,4,3,0.94104498,-1.321996673,0.395161664
gmm_rs_shrunk,iris,150,3,4,3,0.94104498,-1.322609409,0.270633331
gmm_hg_shrunk,iris,150,3,4,3,0.94104498,-1.322593545,0.123121823
kmeans,magic,19020,2,10,3,0.059461797,2.01E+08,0.200443329
kmeans_hg,magic,19020,2,10,3,0.059461797,2.01E+08,19.68414104
gmm,magic,19020,2,10,3,0.062114544,-28.43834371,0.280590579
gmm_ms,magic,19020,2,10,3,0.059678661,-28.43698571,44.16614988
gmm_rs,magic,19020,2,10,3,0.061052875,-28.43739206,15.49423631
gmm_hg,magic,19020,2,10,3,0.060929652,-28.43748873,15.00703018
gmm_shrunk,magic,19020,2,10,3,0.179211989,-42.502775,0.096001189
gmm_ms_shrunk,magic,19020,2,10,3,0.178693156,-42.33073237,48.97088751
gmm_rs_shrunk,magic,19020,2,10,3,0.179235947,-42.50053313,17.92457085
gmm_hg_shrunk,magic,19020,2,10,3,0.179770698,-42.49092497,14.84948106
kmeans,seeds,210,3,7,3,0.716619856,587.3186116,0.000333915
kmeans_hg,seeds,210,3,7,3,0.716619856,587.3186116,0.064943829
gmm,seeds,210,3,7,3,0.78822969,5.955680601,0.002425748
gmm_ms,seeds,210,3,7,3,0.427136353,6.180376328,0.984482044
gmm_rs,seeds,210,3,7,3,0.561765622,6.10501415,0.299110478
gmm_hg,seeds,210,3,7,3,0.476919698,6.225972791,3.822582011
gmm_shrunk,seeds,210,3,7,3,0.710503164,-1.795781176,0.002020165
gmm_ms_shrunk,seeds,210,3,7,3,0.699850502,-1.791714552,0.778200707
gmm_rs_shrunk,seeds,210,3,7,3,0.721256868,-1.792477197,0.291079446
gmm_hg_shrunk,seeds,210,3,7,3,0.721256868,-1.792408517,0.531364484
kmeans,spect,267,2,22,3,0.014740528,1007.199251,0.001089011
kmeans_hg,spect,267,2,22,3,-0.002881882,1005.130159,0.139354818
gmm,spect,267,2,22,3,0.085255564,-1.753364957,0.004786313
gmm_ms,spect,267,2,22,3,0.030698423,7.713033884,2.261358237
gmm_rs,spect,267,2,22,3,0.085255564,-1.753364957,0.283593482
gmm_hg,spect,267,2,22,3,0.134790762,8.306480933,0.565974707
gmm_shrunk,spect,267,2,22,3,-0.002079172,-7.481949565,0.003452874
gmm_ms_shrunk,spect,267,2,22,3,0.121578331,-5.209822641,2.26100475
gmm_rs_shrunk,spect,267,2,22,3,0.267763261,-3.869981743,0.394319533
gmm_hg_shrunk,spect,267,2,22,3,0.213857691,-4.065418968,0.913975861
kmeans,wholesale,440,6,6,3,0.100737296,4.73E+10,0.002606049
kmeans_hg,wholesale,440,6,6,3,0.115975248,4.65E+10,0.456391994
gmm,wholesale,440,6,6,3,0.115814006,-54.95137363,0.009528012
gmm_ms,wholesale,440,6,6,3,0.096143913,-54.69978786,3.965847156
gmm_rs,wholesale,440,6,6,3,0.171793047,-54.40513298,7.239276589
gmm_hg,wholesale,440,6,6,3,0.176131096,-54.42589632,2.467100615
gmm_shrunk,wholesale,440,6,6,3,0.229454654,-56.50264147,0.007736467
gmm_ms_shrunk,wholesale,440,6,6,3,0.161297614,-55.93150237,4.101588398
gmm_rs_shrunk,wholesale,440,6,6,3,0.235707309,-56.15714083,1.861268443
gmm_hg_shrunk,wholesale,440,6,6,3,0.162998699,-56.01527517,0.949810445
kmeans,wines,178,3,13,3,0.371113718,2.37E+06,0.000554575
kmeans_hg,wines,178,3,13,3,0.371113718,2.37E+06,0.066043559
gmm,wines,178,3,13,3,0.115345631,-17.01538637,0.003244836
gmm_ms,wines,178,3,13,3,-0.006868985,-14.04294683,1.187793284
gmm_rs,wines,178,3,13,3,0.358019194,-16.01771945,0.132648067
gmm_hg,wines,178,3,13,3,0.01303066,-15.77080905,0.398531636
gmm_shrunk,wines,178,3,13,3,0.302824312,-49.19078483,0.024769641
gmm_ms_shrunk,wines,178,3,13,3,0.324216164,-48.94240198,11.07369259
gmm_rs_shrunk,wines,178,3,13,3,0.346927587,-48.53015379,4.129913723
gmm_hg_shrunk,wines,178,3,13,3,0.309834828,-49.10312113,3.717928586
kmeans,yeast,1484,10,8,3,0.128905718,52.41844939,0.017557985
kmeans_hg,yeast,1484,10,8,3,0.148258224,45.24379115,3.171464683
gmm,yeast,1484,10,8,3,0.001157421,12.86199093,0.038809116
gmm_ms,yeast,1484,10,8,3,0.040259987,44.00509451,184.7817005
gmm_rs,yeast,1484,10,8,3,0.000849462,42.46622221,1.520691409
gmm_hg,yeast,1484,10,8,3,0.00711359,42.60299038,283.3226731
gmm_shrunk,yeast,1484,10,8,3,0.203439085,12.12288872,0.122571311
gmm_ms_shrunk,yeast,1484,10,8,3,0.157329377,12.14391545,16.3726201
gmm_rs_shrunk,yeast,1484,10,8,3,0.207507782,12.14313521,2.792248835
gmm_hg_shrunk,yeast,1484,10,8,3,0.19517064,12.15879884,6.16945519
kmeans,facebook_live_sellers,7050,4,9,4,0.095983414,2.00E+09,0.091656772
kmeans_hg,facebook_live_sellers,7050,4,9,4,0.088562194,2.00E+09,15.14247201
gmm,facebook_live_sellers,7050,4,9,4,0.129654101,6.307643647,0.134656901
gmm_ms,facebook_live_sellers,7050,4,9,4,0.113540078,7.156997419,227.7150136
gmm_rs,facebook_live_sellers,7050,4,9,4,0.129654101,6.307643647,85.37729526
gmm_hg,facebook_live_sellers,7050,4,9,4,0.129654101,6.307643647,74.44261756
gmm_shrunk,facebook_live_sellers,7050,4,9,4,0.225393589,-44.37816382,0.146909516
gmm_ms_shrunk,facebook_live_sellers,7050,4,9,4,0.237547675,-43.11022102,66.93072864
gmm_rs_shrunk,facebook_live_sellers,7050,4,9,4,0.224030848,-43.88160888,15.58782966
gmm_hg_shrunk,facebook_live_sellers,7050,4,9,4,0.253725615,-43.18408418,15.82111989
kmeans,handwritten_digits,5620,10,62,4,0.573669748,3.74E+06,0.39597283
kmeans_hg,handwritten_digits,5620,10,62,4,0.671227896,3.68E+06,44.84042807
gmm,handwritten_digits,5620,10,62,4,0.292166324,-27.61445789,3.08054377
gmm_ms,handwritten_digits,5620,10,62,4,0.261865825,-12.99189712,1190.949341
gmm_rs,handwritten_digits,5620,10,62,4,0.18220211,-15.6197919,283.4920463
gmm_hg,handwritten_digits,5620,10,62,4,0.387955829,-3.781338016,348.5887807
gmm_shrunk,handwritten_digits,5620,10,62,4,0.733364654,-119.3292366,1.732645395
gmm_ms_shrunk,handwritten_digits,5620,10,62,4,0.792401681,-118.6747693,1115.979623
gmm_rs_shrunk,handwritten_digits,5620,10,62,4,0.810894012,-118.7007471,396.8811704
gmm_hg_shrunk,handwritten_digits,5620,10,62,4,0.780654929,-118.6204364,405.7577437
kmeans,hcv,589,5,12,4,0.443600369,1.64E+06,0.007484518
kmeans_hg,hcv,589,5,12,4,0.463843259,1.64E+06,0.771270382
gmm,hcv,589,5,12,4,0.138436557,-36.77095356,0.011692832
gmm_ms,hcv,589,5,12,4,0.152218185,-3.702902386,395.8000109
gmm_rs,hcv,589,5,12,4,0.12361637,-3.950572152,1096.268162
gmm_hg,hcv,589,5,12,4,0.121047236,-3.833222463,696.6043477
gmm_shrunk,hcv,589,5,12,4,0.464700564,-39.92251086,0.013141997
gmm_ms_shrunk,hcv,589,5,12,4,0.213513989,-39.56029134,6.531516196
gmm_rs_shrunk,hcv,589,5,12,4,0.469816019,-39.86699836,2.629017229
gmm_hg_shrunk,hcv,589,5,12,4,0.344044125,-39.72934741,1.460818246
kmeans,image_segmentation,2310,7,18,4,0.412916032,1.40E+07,0.017956894
kmeans_hg,image_segmentation,2310,7,18,4,0.33838164,1.36E+07,5.185977246
gmm,image_segmentation,2310,7,18,4,0.218773142,19.07098728,0.403966527
gmm_ms,image_segmentation,2310,7,18,4,0.289639383,29.67467086,336.0752014
gmm_rs,image_segmentation,2310,7,18,4,0.218028245,21.96167463,30.7435519
gmm_hg,image_segmentation,2310,7,18,4,0.275893706,26.40112731,63.98807992
gmm_shrunk,image_segmentation,2310,7,18,4,0.385133731,-60.49130177,0.238745389
gmm_ms_shrunk,image_segmentation,2310,7,18,4,0.492396928,-57.779737,56.71266127
gmm_rs_shrunk,image_segmentation,2310,7,18,4,0.467625861,-59.55870511,23.7450511
gmm_hg_shrunk,image_segmentation,2310,7,18,4,0.411557928,-58.39928782,25.6473567
kmeans,ionosphere,351,2,33,4,0.177606855,2419.364807,0.001592059
kmeans_hg,ionosphere,351,2,33,4,0.177606855,2419.364807,0.106705277
gmm,ionosphere,351,2,33,4,0.032494245,-9.725784364,0.002879822
gmm_ms,ionosphere,351,2,33,4,0.742392259,27.99227087,2.392092565
gmm_rs,ionosphere,351,2,33,4,0.46958457,7.707799228,0.506150538
gmm_hg,ionosphere,351,2,33,4,0.675,28.15098659,5.925503385
gmm_shrunk,ionosphere,351,2,33,4,0.032494245,-13.1813152,0.001392777
gmm_ms_shrunk,ionosphere,351,2,33,4,0.731723251,-0.343793798,2.917095698
gmm_rs_shrunk,ionosphere,351,2,33,4,0.74175062,-0.311330381,1.270479816
gmm_hg_shrunk,ionosphere,351,2,33,4,0.74175062,-0.311312563,1.020023973
kmeans,iris,150,3,4,4,0.716342113,78.94506583,0.000291205
kmeans_hg,iris,150,3,4,4,0.730238272,78.94084143,0.061638006
gmm,iris,150,3,4,4,0.903874232,-1.207240195,0.000649333
gmm_ms,iris,150,3,4,4,0.553582078,-0.703865464,0.504835779
gmm_rs,iris,150,3,4,4,0.903874232,-1.20664639,0.252189107
gmm_hg,iris,150,3,4,4,0.560909984,-0.835544164,0.372469962
gmm_shrunk,iris,150,3,4,4,0.94104498,-1.322909703,0.000595914
gmm_ms_shrunk,iris,150,3,4,4,0.94104498,-1.322051987,0.441640119
gmm_rs_shrunk,iris,150,3,4,4,0.94104498,-1.322602682,0.171571494
gmm_hg_shrunk,iris,150,3,4,4,0.94104498,-1.322609186,0.209468032
kmeans,magic,19020,2,10,4,0.059461797,2.01E+08,0.275948797
kmeans_hg,magic,19020,2,10,4,0.059461797,2.01E+08,9.991105767
gmm,magic,19020,2,10,4,0.061933159,-28.4382557,0.093647764
gmm_ms,magic,19020,2,10,4,0.059461316,-28.43697754,41.6784036
gmm_rs,magic,19020,2,10,4,0.060981837,-28.43743496,25.90063146
gmm_hg,magic,19020,2,10,4,0.060172857,-28.43713527,12.87149657
gmm_shrunk,magic,19020,2,10,4,0.179235947,-42.50108346,0.080645688
gmm_ms_shrunk,magic,19020,2,10,4,0.164132641,-42.17932867,48.36876616
gmm_rs_shrunk,magic,19020,2,10,4,0.180837616,-42.18855456,14.92199085
gmm_hg_shrunk,magic,19020,2,10,4,0.17926386,-42.49253846,14.20080317
kmeans,seeds,210,3,7,4,0.710341709,588.7819922,0.00041879
kmeans_hg,seeds,210,3,7,4,0.716619856,587.3186116,0.082062036
gmm,seeds,210,3,7,4,0.485372301,5.349925467,0.001086443
gmm_ms,seeds,210,3,7,4,0.450227645,6.115185271,0.974326387
gmm_rs,seeds,210,3,7,4,0.561765622,6.104954961,0.182432478
gmm_hg,seeds,210,3,7,4,0.578951491,6.10528107,0.384140839
gmm_shrunk,seeds,210,3,7,4,0.699984355,-1.796538886,0.00338263
gmm_ms_shrunk,seeds,210,3,7,4,0.721256868,-1.793852419,0.814097861
gmm_rs_shrunk,seeds,210,3,7,4,0.721081893,-1.793257812,0.264132656
gmm_hg_shrunk,seeds,210,3,7,4,0.721256868,-1.793241634,0.336844175
kmeans,spect,267,2,22,4,0.02086245,1017.384957,0.001204651
kmeans_hg,spect,267,2,22,4,0.000159441,1005.134829,0.278673087
gmm,spect,267,2,22,4,-0.089569619,-3.06045271,0.003946961
gmm_ms,spect,267,2,22,4,-0.055632542,8.535420076,2.427612055
gmm_rs,spect,267,2,22,4,-0.088907255,-2.132239672,0.354593531
gmm_hg,spect,267,2,22,4,0.123469841,10.35644975,0.913081631
gmm_shrunk,spect,267,2,22,4,-0.040847909,-6.967373055,0.004058183
gmm_ms_shrunk,spect,267,2,22,4,0.037614233,-5.329026952,2.567066469
gmm_rs_shrunk,spect,267,2,22,4,0.24577459,-4.178320908,0.43356539
gmm_hg_shrunk,spect,267,2,22,4,0.361621509,-3.536726535,0.654098678
kmeans,wholesale,440,6,6,4,0.102778956,5.10E+10,0.003083738
kmeans_hg,wholesale,440,6,6,4,0.114522801,4.65E+10,0.674502554
gmm,wholesale,440,6,6,4,0.091677211,-55.16755718,0.067169928
gmm_ms,wholesale,440,6,6,4,0.150585936,-54.48982152,5.077886868
gmm_rs,wholesale,440,6,6,4,0.112018204,-54.48597709,2.329594695
gmm_hg,wholesale,440,6,6,4,0.105803421,-54.47585221,3.438543559
gmm_shrunk,wholesale,440,6,6,4,0.23118121,-56.32858888,0.009762465
gmm_ms_shrunk,wholesale,440,6,6,4,0.120701151,-55.95225069,4.258529716
gmm_rs_shrunk,wholesale,440,6,6,4,0.217742167,-56.09852086,2.460240039
gmm_hg_shrunk,wholesale,440,6,6,4,0.18019943,-56.03552822,0.928824526
kmeans,wines,178,3,13,4,0.371113718,2.37E+06,0.000574058
kmeans_hg,wines,178,3,13,4,0.371113718,2.37E+06,0.076080681
gmm,wines,178,3,13,4,0.491892351,-16.3654622,0.002435726
gmm_ms,wines,178,3,13,4,-0.009551365,-15.16715182,1.379758963
gmm_rs,wines,178,3,13,4,0.363492519,-16.14677452,0.166611385
gmm_hg,wines,178,3,13,4,0.015525017,-15.34317023,0.496385677
gmm_shrunk,wines,178,3,13,4,0.299889823,-49.18099309,0.003702976
gmm_ms_shrunk,wines,178,3,13,4,0.358341353,-45.79302124,11.87814103
gmm_rs_shrunk,wines,178,3,13,4,0.346927587,-47.04378572,3.624966851
gmm_hg_shrunk,wines,178,3,13,4,0.309834828,-49.07490068,5.402072582
kmeans,yeast,1484,10,8,4,0.138032607,45.82299294,0.021805116
kmeans_hg,yeast,1484,10,8,4,0.148136306,45.24524201,3.317391744
gmm,yeast,1484,10,8,4,0.002239843,42.41122089,0.091434702
gmm_ms,yeast,1484,10,8,4,0.028309679,44.55330129,335.1281742
gmm_rs,yeast,1484,10,8,4,0.002239843,42.41122089,57.68456022
gmm_hg,yeast,1484,10,8,4,0.005071373,42.56441671,396.9289475
gmm_shrunk,yeast,1484,10,8,4,0.220988924,12.04089707,0.034945956
gmm_ms_shrunk,yeast,1484,10,8,4,0.207707369,12.15125711,14.6014739
gmm_rs_shrunk,yeast,1484,10,8,4,0.207191984,12.09792759,2.723969233
gmm_hg_shrunk,yeast,1484,10,8,4,0.152302557,12.15581352,5.360242805
kmeans,facebook_live_sellers,7050,4,9,5,0.095983414,2.00E+09,0.110442617
kmeans_hg,facebook_live_sellers,7050,4,9,5,0.087400262,2.00E+09,6.665703463
gmm,facebook_live_sellers,7050,4,9,5,0.173060413,-2.246218727,0.147055681
gmm_ms,facebook_live_sellers,7050,4,9,5,0.077620018,6.798016636,301.6389557
gmm_rs,facebook_live_sellers,7050,4,9,5,0.155604714,4.206150836,156.4938939
gmm_hg,facebook_live_sellers,7050,4,9,5,0.12698348,6.340026086,79.8011551
gmm_shrunk,facebook_live_sellers,7050,4,9,5,0.225393589,-44.37811147,0.219161192
gmm_ms_shrunk,facebook_live_sellers,7050,4,9,5,0.118892709,-32.24886402,82.87355365
gmm_rs_shrunk,facebook_live_sellers,7050,4,9,5,0.226849444,-43.79775475,23.09428281
gmm_hg_shrunk,facebook_live_sellers,7050,4,9,5,0.226975334,-43.81360763,44.75324262
kmeans,handwritten_digits,5620,10,62,5,0.678834014,3.68E+06,0.261179708
kmeans_hg,handwritten_digits,5620,10,62,5,0.671747674,3.68E+06,81.6065325
gmm,handwritten_digits,5620,10,62,5,0.330959771,-22.74024006,3.837247374
gmm_ms,handwritten_digits,5620,10,62,5,0.360134426,-11.28767395,1302.015119
gmm_rs,handwritten_digits,5620,10,62,5,0.124074302,-18.39303278,334.4743208
gmm_hg,handwritten_digits,5620,10,62,5,0.392464972,-4.562120156,243.1343584
gmm_shrunk,handwritten_digits,5620,10,62,5,0.796157081,-119.2715615,2.648480826
gmm_ms_shrunk,handwritten_digits,5620,10,62,5,0.789490277,-118.6584276,1254.93721
gmm_rs_shrunk,handwritten_digits,5620,10,62,5,0.844431658,-118.8289449,226.4393033
gmm_hg_shrunk,handwritten_digits,5620,10,62,5,0.787859494,-118.6836805,302.0847149
kmeans,hcv,589,5,12,5,0.140459719,2.55E+06,0.00764122
kmeans_hg,hcv,589,5,12,5,0.463843259,1.64E+06,0.685972254
gmm,hcv,589,5,12,5,0.171587258,-36.93496405,0.140692399
gmm_ms,hcv,589,5,12,5,0.135520371,-3.853700461,365.026168
gmm_rs,hcv,589,5,12,5,0.131777059,-3.94128944,647.6159186
gmm_hg,hcv,589,5,12,5,0.134599399,-3.490019525,588.5382044
gmm_shrunk,hcv,589,5,12,5,0.400395992,-39.76851847,0.008127292
gmm_ms_shrunk,hcv,589,5,12,5,0.284301285,-39.66585148,6.827242211
gmm_rs_shrunk,hcv,589,5,12,5,0.412707462,-39.74110021,1.421434978
gmm_hg_shrunk,hcv,589,5,12,5,0.334427231,-39.71263479,1.462657472
kmeans,image_segmentation,2310,7,18,5,0.411621754,1.42E+07,0.016618785
kmeans_hg,image_segmentation,2310,7,18,5,0.338308416,1.36E+07,3.602318731
gmm,image_segmentation,2310,7,18,5,0.110819562,20.09548566,1.0444615
gmm_ms,image_segmentation,2310,7,18,5,0.290125073,31.18014061,394.4230761
gmm_rs,image_segmentation,2310,7,18,5,0.304707013,23.3539766,17.27790413
gmm_hg,image_segmentation,2310,7,18,5,0.265192752,25.99890069,62.93480966
gmm_shrunk,image_segmentation,2310,7,18,5,0.465934395,-59.58376936,0.075105983
gmm_ms_shrunk,image_segmentation,2310,7,18,5,0.481245828,-57.78283061,54.16489634
gmm_rs_shrunk,image_segmentation,2310,7,18,5,0.468847928,-59.55350803,12.39028837
gmm_hg_shrunk,image_segmentation,2310,7,18,5,0.496670183,-57.922498,11.85520335
kmeans,ionosphere,351,2,33,5,0.172844517,2419.40923,0.001168431
kmeans_hg,ionosphere,351,2,33,5,0.177606855,2419.364807,0.161170551
gmm,ionosphere,351,2,33,5,0.306589382,1.76991597,0.00666546
gmm_ms,ionosphere,351,2,33,5,0.752298398,28.02034173,2.623647552
gmm_rs,ionosphere,351,2,33,5,0.713093496,28.32033055,7.601575536
gmm_hg,ionosphere,351,2,33,5,0.684419886,28.22377655,23.27284489
gmm_shrunk,ionosphere,351,2,33,5,0.711638521,-0.49307775,0.009578678
gmm_ms_shrunk,ionosphere,351,2,33,5,0.731723251,-0.343789844,3.276879376
gmm_rs_shrunk,ionosphere,351,2,33,5,0.731723251,-0.343681231,1.622773703
gmm_hg_shrunk,ionosphere,351,2,33,5,0.731723251,-0.343794402,0.923550051
kmeans,iris,150,3,4,5,0.422540042,142.8592917,0.000140232
kmeans_hg,iris,150,3,4,5,0.730238272,78.94084143,0.03463299
gmm,iris,150,3,4,5,0.465107386,-1.351217935,0.000652684
gmm_ms,iris,150,3,4,5,0.522898857,-0.756240439,0.463647646
gmm_rs,iris,150,3,4,5,0.560078733,-0.72523536,2.37055568
gmm_hg,iris,150,3,4,5,0.522898857,-0.756240439,0.090660592
gmm_shrunk,iris,150,3,4,5,0.486878043,-1.48073663,0.000789327
gmm_ms_shrunk,iris,150,3,4,5,0.94104498,-1.322406633,0.334056816
gmm_rs_shrunk,iris,150,3,4,5,0.94104498,-1.322606907,0.299690196
gmm_hg_shrunk,iris,150,3,4,5,0.94104498,-1.322598234,0.102303182
kmeans,magic,19020,2,10,5,0.059461797,2.01E+08,0.06375807
kmeans_hg,magic,19020,2,10,5,0.059461797,2.01E+08,18.04537332
gmm,magic,19020,2,10,5,0.061390536,-28.43782734,0.277831201
gmm_ms,magic,19020,2,10,5,0.059490486,-28.43699882,42.31380909
gmm_rs,magic,19020,2,10,5,0.058408019,-28.43724157,14.77798004
gmm_hg,magic,19020,2,10,5,0.059006139,-28.43705548,13.94432802
gmm_shrunk,magic,19020,2,10,5,0.179211989,-42.50240611,0.044553126
gmm_ms_shrunk,magic,19020,2,10,5,0.165824173,-42.18999231,45.12186918
gmm_rs_shrunk,magic,19020,2,10,5,0.179235947,-42.50053787,12.36689219
gmm_hg_shrunk,magic,19020,2,10,5,0.137552279,-41.97462575,20.99140087
kmeans,seeds,210,3,7,5,0.716619856,587.3186116,0.000283437
kmeans_hg,seeds,210,3,7,5,0.716619856,587.3186116,0.137572033
gmm,seeds,210,3,7,5,0.669454776,5.954603696,0.001287262
gmm_ms,seeds,210,3,7,5,0.578951491,6.105320875,0.964032218
gmm_rs,seeds,210,3,7,5,0.578951491,6.105256207,0.146727485
gmm_hg,seeds,210,3,7,5,0.561765622,6.104984224,0.283726386
gmm_shrunk,seeds,210,3,7,5,0.721256868,-1.795313114,0.001119395
gmm_ms_shrunk,seeds,210,3,7,5,0.721256868,-1.794999237,0.881122499
gmm_rs_shrunk,seeds,210,3,7,5,0.721256868,-1.793235554,0.446040582
gmm_hg_shrunk,seeds,210,3,7,5,0.721256868,-1.793477302,0.36880344
kmeans,spect,267,2,22,5,-0.019915002,1006.232626,0.000608822
kmeans_hg,spect,267,2,22,5,-0.002881882,1005.130159,0.135412913
gmm,spect,267,2,22,5,-0.088907255,-2.132239672,0.003542312
gmm_ms,spect,267,2,22,5,-0.058091727,18.47840771,1.945989909
gmm_rs,spect,267,2,22,5,-0.088907255,-2.132239672,0.243734603
gmm_hg,spect,267,2,22,5,0.053305322,9.486824249,0.373419646
gmm_shrunk,spect,267,2,22,5,-0.016381513,-6.364178859,0.004613615
gmm_ms_shrunk,spect,267,2,22,5,0.060617877,-5.010962018,2.064264519
gmm_rs_shrunk,spect,267,2,22,5,0.361621509,-3.536726535,0.443511507
